"0110","Commissioned Armed Forces Officers"
"0210","Non-commissioned Armed Forces Officers"
"0310","Armed Forces Occupations, Other Ranks"
"1111","Legislators"
"1112","Senior Government Officials"
"1113","Traditional Chiefs and Heads of Villages"
"1114","Senior Officials of Special-interest Organizations"
"1120","Managing Directors and Chief Executives"
"1211","Finance Managers"
"1212","Human Resource Managers"
"1213","Policy and Planning Managers"
"1219","Business Services and Administration Managers Not Elsewhere Classified"
"1221","Sales and Marketing Managers"
"1222","Advertising and Public Relations Managers"
"1223","Research and Development Managers"
"1311","Agricultural and Forestry Production Managers"
"1312","Aquaculture and Fisheries Production Managers"
"1321","Manufacturing Managers"
"1322","Mining Managers"
"1323","Construction Managers"
"1324","Supply, Distribution and Related Managers"
"1330","Information and Communications Technology Services Managers"
"1341","Child Care Services Managers"
"1342","Health Services Managers"
"1343","Aged Care Services Managers"
"1344","Social Welfare Managers"
"1345","Education Managers"
"1346","Financial and Insurance Services Branch Managers"
"1349","Professional Services Managers Not Elsewhere Classified"
"1411","Hotel Managers"
"1412","Restaurant Managers"
"1420","Retail and Wholesale Trade Managers"
"1431","Sports, Recreation and Cultural Centre Managers"
"1439","Services Managers Not Elsewhere Classified"
"2111","Physicists and Astronomers"
"2112","Meteorologists"
"2113","Chemists"
"2114","Geologists and Geophysicists"
"2120","Mathematicians, Actuaries and Statisticians"
"2131","Biologists, Botanists, Zoologists and Related Professionals"
"2132","Farming, Forestry and Fisheries Advisers"
"2133","Environmental Protection Professionals"
"2141","Industrial and Production Engineers"
"2142","Civil Engineers"
"2143","Environmental Engineers"
"2144","Mechanical Engineers"
"2145","Chemical Engineers"
"2146","Mining Engineers, Metallurgists and Related Professionals"
"2149","Engineering Professionals Not Elsewhere Classified"
"2151","Electrical Engineers"
"2152","Electronics Engineers"
"2153","Telecommunications Engineers"
"2161","Building Architects"
"2162","Landscape Architects"
"2163","Product and Garment Designers"
"2164","Town and Traffic Planners"
"2165","Cartographers and Surveyors"
"2166","Graphic and Multimedia Designers"
"2211","Generalist Medical Practitioners "
"2212","Specialist Medical Practitioners "
"2221","Nursing Professionals"
"2222","Midwifery Professionals"
"2230","Traditional and Complementary Medicine Professionals"
"2240","Paramedical Practitioners"
"2250","Veterinarians"
"2261","Dentists"
"2262","Pharmacists"
"2263","Environmental and Occupational Health and Hygiene Professionals"
"2264","Physiotherapists "
"2265","Dieticians and Nutritionists"
"2266","Audiologists and Speech Therapists"
"2267","Optometrists and Ophthalmic Opticians"
"2269","Health Professionals Not Elsewhere Classified"
"2310","University and Higher Education Teachers"
"2320","Vocational Education Teachers"
"2330","Secondary Education Teachers"
"2341","Primary School Teachers"
"2342","Early Childhood Educators"
"2351","Education Methods specialists"
"2352","Special Needs Teachers"
"2353","Other Language Teachers"
"2354","Other Music Teachers"
"2355","Other Arts Teachers"
"2356","Information Technology Trainers"
"2359","Teaching Professionals Not Elsewhere Classified"
"2411","Accountants"
"2412","Financial and Investment Advisers"
"2413","Financial Analysts"
"2421","Management and Organization Analysts"
"2422","Policy Administration Professionals"
"2423","Personnel and Careers Professionals"
"2424","Training and Staff Development Professionals"
"2431","Advertising and Marketing Professionals"
"2432","Public Relations Professionals"
"2433","Technical and Medical Sales Professionals (excluding ICT)"
"2434","Information and Communications Technology Sales Professionals"
"2511","Systems Analysts"
"2512","Software Developers"
"2513","Web and Multimedia Developers"
"2514","Applications Programmers"
"2519","Software and Applications Developers and Analysts Not Elsewhere Classified"
"2521","Database Designers and Administrators"
"2522","Systems Administrators"
"2523","Computer Network Professionals"
"2529","Database and Network Professionals Not Elsewhere Classified"
"2611","Lawyers"
"2612","Judges"
"2619","Legal Professionals Not Elsewhere Classified"
"2621","Archivists and Curators"
"2622","Librarians and Related Information Professionals"
"2631","Economists"
"2632","Sociologists, Anthropologists and Related Professionals"
"2633","Philosophers, Historians and Political Scientists"
"2634","Psychologists"
"2635","Social Work and Counselling Professionals"
"2636","Religious Professionals"
"2641","Authors and Related Writers"
"2642","Journalists"
"2643","Translators, Interpreters and Other Linguists"
"2651","Visual Artists"
"2652","Musicians, Singers and Composers"
"2653","Dancers and Choreographers"
"2654","Film, Stage and Related Directors and Producers"
"2655","Actors"
"2656","Announcers on Radio, Television and Other Media"
"2659","Creative and Performing Artists Not Elsewhere Classified"
"3111","Chemical and Physical Science Technicians"
"3112","Civil Engineering Technicians"
"3113","Electrical Engineering Technicians"
"3114","Electronics Engineering Technicians"
"3115","Mechanical Engineering Technicians"
"3116","Chemical Engineering Technicians"
"3117","Mining and Metallurgical Technicians"
"3118","Draughtspersons"
"3119","Physical and Engineering Science Technicians Not Elsewhere Classified"
"3121","Mining Supervisors"
"3122","Manufacturing Supervisors"
"3123","Construction Supervisors"
"3131","Power Production Plant Operators"
